Dive Site,Type,Country,Notes,,Dive Site,Type,Country,City,,,Dive Site,Type,Country,,,Dive Site,Type,Country,,,Dive Site,Type,Country,,Dive Site,Type,Country,,,Dive Site,Type,Country
Train Wheels (Point Loma),Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobster Shack (Coronado Islands),Geographic Site,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyhole (Coronado Islands),Geographic Site,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Grounds (Coronado Islands),Geographic Site,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonne Terre Mine,Cavern/Cave,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devil's Lake State Park,Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Brook County Park,Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lannon Quarry,Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Genesee,Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moose Lake,Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagawicka Lake,Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearl Lake,Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleasant Prairie RecPlex,Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS Appomattox (Lake Michigan),Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dredge No.6 (Lake Michigan),Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gillen Tug (Lake Michigan),Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Shore State Park - Milwaukee (Lake Michigan),Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lumberman (Lake Michigan),Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Car Ferry (Lake Michigan),Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niagra (Lake Michigan),Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northerner  (Lake Michigan),Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prins Willem V (Lake Michigan),Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barge Transfer (Lake Michigan,Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS Wisconsin (Lake Michigan),Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Racine Quarry,Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wazee Lake,Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Ramsey (Liberty Ship),Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Socony,Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dredge Wreck,Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone Tug,Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pocahontas Tug,Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School House Barge,Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyde,Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markham,Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Davis Wreck,Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John D. Gill (WR-4),Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Mile Ledge,Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sue’s Ledge,Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobster Ledge,Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esso Nashville,Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stacey’s Ledge/Anna’s Ledge/Dew’s Ledge,Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normannia,Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosin Wreck,Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassimir,Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Ledge (wreck reel and SMT required),Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ed’s Lobster Wreck,Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frying Pan Tower,Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg MicKey Wreck,Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Houston,Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Fathom Wreck,Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hood Canal,Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batanta Island,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penemu Area,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dampier Strait,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misool,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Great Lower,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kein Greis,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The people of Pordic,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low Coneu,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Lejon,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Low SE,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gran Lejon,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madeux,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basse Bléhé,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small SE,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caffa,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The birds,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plateau des Hors,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falling from the Outside,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large foundation,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petite Parfonde,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Luron,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mallow,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harbour,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bass of the smoky,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The long,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The round,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The apple tree,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Kilda,Wreck,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wreck of the Hors (Sea Spray),Wreck,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As you can,Wreck,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Molène,Wreck,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Forwards,Wreck,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Heldge,Wreck,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,Geographic Site,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wreck Diving,Wreck,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquarium Dive,Geographic Site,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destination Diving,Geographic Site,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilis,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanur,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulamben,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marseille,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biarritz,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basque Country,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Cabos,Geographic Site,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Paz,Geographic Site,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loreto,Geographic Site,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isla Espíritu Santo,Geographic Site,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isla Cerralvo,Geographic Site,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Pulmo,Geographic Site,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Ignacio,Geographic Site,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isla Espiritu Santo,Geographic Site,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea of Cortez,Geographic Site,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dropoff,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batu Belah,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sidem,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embral,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palung,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamanda,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boga,Wreck,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutiara,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batu Nitu,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nusa Lembongan,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nisa Penida,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gili Islands,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Bali,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Bali,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Andres Islands,Geographic Site,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KVI Tower,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barges at Maury Island,Wreck,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalco Wall,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunrise County Park,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Richmond Minesweeper,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Defiance North Wall,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point Defiance West Wall,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Side Tacoma Narrows,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Stanchion Tacoma Narrows,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day Island Wall,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z's Reef,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Island East Wall,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lahami Bay,Geographic Site,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roatan South Shore,Geographic Site,Roatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abrolhos Islands,Geographic Site,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koh Chang,Geographic Site,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koh Rang National Park,Geographic Site,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koh Kood,Geographic Site,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaheim Bay Breakwater,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolsa Chica,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntington Beach,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newport Pier,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wedge,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corona Del Mar,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Corona,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horse Ranch,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal Cove Underwater Park,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reef Point/Scotchman's Cove,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historic Anchor,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irvine Cove,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerald Bay,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crescent Bay (Seal Rock),Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deadman's Reef,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Riviera Boat Dive!,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaw's Cove,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fisherman's Cove,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diver's Cove,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picnic Beach,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocky Beach,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heisler Park,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kelp, kelp, kelp.",Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main Beach,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleo Street Barge,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadway Reef,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Riviera favorite!,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cress Street,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood's Cove,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riviera takes you to deep reefs!,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moss Point,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria Street,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasure Island,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riviera Accessible!,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliso Beach,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousand Steps (Salt Creek),Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monarch Point,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riviera Favorite!,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Arch Bay,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.C.E. Wreck,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Clemente Rocks,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunset Wreck,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gary's Barge,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savino's,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elsie I,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barge Rock,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB Trawler,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB Barge,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margaret F.,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P38 Lightning,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frontier,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Izor's Reef,Geographic Site,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambergris Caye,Geographic Site,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hol Chan Marine Reserve,Geographic Site,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belize Barrier Reef,Geographic Site,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji Shark Dives,Geographic Site,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceasar's Rock,Geographic Site,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Sisters,Geographic Site,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swim-Through City / Bird Island,Geographic Site,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turtle Head,Geographic Site,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Nuns,Geographic Site,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Caicos,Geographic Site,Turks and Caicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grace Bay,Geographic Site,Turks and Caicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine Cay,Geographic Site,Turks and Caicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North West Point,Geographic Site,Turks and Caicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Cay,Geographic Site,Turks and Caicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Sand Spit,Geographic Site,Turks and Caicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Caicos,Geographic Site,Turks and Caicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underwater Museum,Geographic Site,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bells,Geographic Site,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger Reef,Geographic Site,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Islands,Geographic Site,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abu Galum,Geographic Site,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moray Garden,Geographic Site,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Pools,Geographic Site,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Similan National Park,Geographic Site,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surin Islands,Geographic Site,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas Point,Geographic Site,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koh Bon West Ridge,Geographic Site,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koh Tachai Pinnacle,Geographic Site,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Point,Geographic Site,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Trees,Geographic Site,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuna Wreck,Wreck,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West of Eden,Geographic Site,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOW Pakkad,Geographic Site,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batu Kapal,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dante's Wall,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiko Yansi,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulau Putus,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kainah's Treasure,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Dreaming,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batu Angus,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AW Shucks,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batu Merah,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heynus,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel's Window,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binuang,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hairbal,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hairbal Too,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TK,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batu Sandar,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry's Crack,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slow Poke,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic Rock,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nudi Retreat,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic Crack,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Bajo,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanjung Tebal,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makawidey,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahir,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanjung Kubur,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kareko,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Prang,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai Parigi,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pintu Kota Kecil,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pintu Colada,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jandri's Beach,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarena Besar,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Pair 2,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nudi Fals,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarena Patah,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pintu Kota Besar (SeaGrass),Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai Kecil,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bianca,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanjung Kusu Kusu,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mawali Wreck,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandu Rusa,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critter hunt,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulau Abadi,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trikora,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goby Crab,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madidir,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantai Jiko,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulau Dua,Geographic Site,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arromanches,Geographic Site,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA POSA,Geographic Site,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA CHIMENEA,Geographic Site,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANTA JULIA,Geographic Site,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOÑA NICA,Geographic Site,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOB NA (AKA GROUPER HANGOUT),Geographic Site,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pura mas gading,Geographic Site,Indonesia,Nusa Penida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sekolah Dasar ,Geographic Site,Bali,Nusa Penida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyuk,Geographic Site,Bali,Nusa Penida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
