Dive Site,Type,Country,Notes,,Dive Site,Type,Country,City,,,Dive Site,Type,Country,,,Dive Site,Type,Country,,,Dive Site,Type,Country,,Dive Site,Type,Country,,,Dive Site,Type,Country
Bahama Mama Wreck,Wreck,Bahamas,,,La Jolla Cove,Beach,USA,,,,Russell Island - Mirror Pond,Cavern/Cave,Russell Islands,,,Shark Airport,Geographic Site,Philippines,,,,,,,,,,,,Stella Maru,Wreck,Mauritius
Baikal - Listvyanka,Lake,Russia,,,La Jolla Shores,Beach,USA,,,,Florida Island - Twin Tunnels,Cavern/Cave,Florida Islands,,,Apo Reef Natural Park,Geographic Site,Philippines,,,,,,,,,,,,USS Emmons,Wreck,Japan
Baikal - Olkhon,Lake,Russia,,,Catalina Island - Casino Point Dive Park,Beach,USA,,,,Caves of Tutuba,Cavern/Cave,Vanuatu,,,Apo Island Marine Reserve,Geographic Site,Philippines,,,,,,,,,,,,Frankenwald Wreck,Wreck,Norway
Bajo de Piles,Geographic Site,Spain,,,Channel Island - Anacapa,Beach,Landing Cove,,,,Swallows Cave,Cavern/Cave,Tonga,,,Verde Island Drop - Off,Geographic Site,Philippines,,,,,,,,,,,,HMS Scylla,Wreck,
Baker Island - Wreck Point,Wreck,USA,,,Florence,Beach,Neptune State Park,,,,Mariners Cave,Cavern/Cave,Tonga,,,Cathedral Rock,Geographic Site,Philippines,,,,,,,,,,,,Scapa Flow,Wreck,SMS Karlsruhe
Balboa Wreck,Wreck,Cayman Islands,,,Puget Sound,Beach,Saltwater State Park,,,,Broken Rock,Cavern/Cave,Maldives,,,Twin Rocks,Geographic Site,Philippines,,,,,,,,,,,,Scapa Flow,Wreck,SMS Markgraf
Banana Reef (Gaathugiri),Geographic Site,Maldives,,,Whytecliff Park,Beach,Canada,,,,Kuredu Caves,Cavern/Cave,Maldives,,,Crystal,Geographic Site,Indonesia,,,,,,,,,,,,Dori (SS Douriense),Wreck,Portugal
Banda Island - Lava Flow,Geographic Site,Indonesia,,,Porteau Cove,Beach,Canada,,,,Piton de la Fournaise Lava Tubes,Cavern/Cave,Reunion,,,Manta Point,Geographic Site,Indonesia,,,,,,,,,,,,HMS Perseus,Wreck,Greece
Banda Sea,Geographic Site,Indonesia,,,Cates Park,Beach,Canada,,,,Hvar Caves,Cavern/Cave,Croatia,,,Blue Corner,Geographic Site,Indonesia,,,,,,,,,,,,Iro Maru,Wreck,Palau
Bandar Khayran - Mermaid Cove,Geographic Site,Oman,,,Not Listed,,,,,,Gozo Inland Sea,Cavern/Cave,Malta,,,Toyapakeh,Geographic Site,Indonesia,,,,,,,,,,,,Helmet Wreck,Wreck,Palau
Bandrélé,Geographic Site,Mayotte,,,,,,,,,La Catedral,Cavern/Cave,Spain,,,Batu Bolong,Geographic Site,Indonesia,,,,,,,,,,,,Lagoon - Fujikawa Maru,Wreck,Chuuk
Barcadera,Geographic Site,Aruba,,,,,,,,,Palm - Mar Caves,Cavern/Cave,Spain,,,Castle Rock,Geographic Site,Indonesia,,,,,,,,,,,,Lagoon - Shinkoku Maru,Wreck,Chuuk
Bari,Beach,Bonaire,,,,,,,,,Fury Shoals - Sha’ab Claudio,Cavern/Cave,Egypt,,,Crystal Rock,Geographic Site,Indonesia,,,,,,,,,,,,Lagoon - San Francisco Maru,Wreck,Chuuk
Barking Sands,Beach,USA,,,,,,,,,Fury Shoals - Malahi,Cavern/Cave,Egypt,,,The Cauldron (Shotgun),Geographic Site,Indonesia,,,,,,,,,,,,USS Saratoga,Wreck,Bikini Atoll
Baron Gautsch,Wreck,Croatia,,,,,,,,,The Crack,Cavern/Cave,Djibouti,,,Karang Makassar (Manta Alley),Geographic Site,Indonesia,,,,,,,,,,,,HIJMS Nagato,Wreck,Bikini Atoll
Barracuda,Geographic Site,Mexico,,,,,,,,,Grand Coude,Cavern/Cave,Reunion,,,Cape Kri,Geographic Site,Indonesia,,,,,,,,,,,,SS President Coolidge,Wreck,Vanuatu
Barracuda Lake,Lake,Philippines,,,,,,,,,Mitsamiouli Caves,Cavern/Cave,Comoros,,,Blue Magic,Geographic Site,Indonesia,,,,,,,,,,,,Million Dollar Point,Wreck,Vanuatu
Barracuda Point,Geographic Site,Malaysia,,,,,,,,,Andaman Island - Fish Rock,Cavern/Cave,India,,,Melissa’s Garden,Geographic Site,Indonesia,,,,,,,,,,,,Rainbow Warrior Wreck,Wreck,New Zealand
Barracuda Point,Geographic Site,Mexico,,,,,,,,,The Shark Hole,Cavern/Cave,Tikehau,,,Manta Sandy,Geographic Site,Indonesia,,,,,,,,,,,,HMNZS Canterbury,Wreck,New Zealand
Bartolomé - Pinnacle Rock,Geographic Site,Ecuador,,,,,,,,,Ngatangiia Swim - Through,Cavern/Cave,Cook Islands,,,Sardine,Geographic Site,Indonesia,,,,,,,,,,,,YO - 257 & San Pedro,Wreck,USA
